industry,search_title,company_type,degree_requirement,count
Finance,Actuary,established,any_degree,2
Finance,Actuary,established,not_mentioned,2
Finance,Actuary,established,preferred,1
Finance,Actuary,established,required,1
Finance,Actuary,startup,not_mentioned,4
Finance,Compliance Officer,established,not_mentioned,3
Finance,Compliance Officer,established,preferred,1
Finance,Compliance Officer,startup,not_mentioned,6
Finance,Compliance Officer,startup,required,1
Finance,Credit Analyst,established,any_degree,21
Finance,Credit Analyst,established,no_degree,3
Finance,Credit Analyst,established,not_mentioned,19
Finance,Credit Analyst,established,preferred,13
Finance,Credit Analyst,established,required,4
Finance,Credit Analyst,startup,any_degree,3
Finance,Credit Analyst,startup,not_mentioned,13
Finance,Credit Analyst,startup,preferred,1
Finance,Credit Analyst,startup,required,1
Finance,Financial Analyst,established,any_degree,11
Finance,Financial Analyst,established,no_degree,1
Finance,Financial Analyst,established,not_mentioned,21
Finance,Financial Analyst,established,required,5
Finance,Financial Analyst,startup,any_degree,9
Finance,Financial Analyst,startup,not_mentioned,29
Finance,Financial Analyst,startup,preferred,1
Finance,Financial Analyst,startup,required,1
Finance,Financial Planner,established,any_degree,9
Finance,Financial Planner,established,not_mentioned,24
Finance,Financial Planner,established,preferred,15
Finance,Financial Planner,established,required,2
Finance,Financial Planner,startup,not_mentioned,8
Finance,Fintech Product Manager,established,any_degree,7
Finance,Fintech Product Manager,established,no_degree,10
Finance,Fintech Product Manager,established,not_mentioned,31
Finance,Fintech Product Manager,established,preferred,2
Finance,Fintech Product Manager,startup,any_degree,12
Finance,Fintech Product Manager,startup,no_degree,2
Finance,Fintech Product Manager,startup,not_mentioned,111
Finance,Fintech Product Manager,startup,preferred,1
Finance,Fintech Product Manager,startup,required,3
Finance,Investment Banking Analyst,established,any_degree,10
Finance,Investment Banking Analyst,established,not_mentioned,14
Finance,Investment Banking Analyst,established,preferred,1
Finance,Investment Banking Analyst,established,required,4
Finance,Investment Banking Analyst,startup,any_degree,4
Finance,Investment Banking Analyst,startup,not_mentioned,12
Finance,Investment Banking Analyst,startup,preferred,1
Finance,Portfolio Manager,established,any_degree,8
Finance,Portfolio Manager,established,not_mentioned,12
Finance,Portfolio Manager,established,preferred,2
Finance,Portfolio Manager,established,required,2
Finance,Portfolio Manager,startup,any_degree,2
Finance,Portfolio Manager,startup,not_mentioned,6
Finance,Portfolio Manager,startup,preferred,4
Finance,Portfolio Manager,startup,required,1
Finance,Quantitative Analyst,established,any_degree,12
Finance,Quantitative Analyst,established,no_degree,2
Finance,Quantitative Analyst,established,not_mentioned,35
Finance,Quantitative Analyst,established,preferred,3
Finance,Quantitative Analyst,established,required,6
