Occupation Title,Occupation Code,Employment 2024,Employment 2034,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode,SOC_Code,SOC_Major,Occupation_Clean,Occupation_Category,AI_Theoretical_Exposure,AI_Observed_Exposure,AI_Automation_Gap
"Elementary school teachers, except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Music Teacher* Elementary School Teacher* Grades 1 Through 5 Teacher","=""25-2021""",1422.7,1394.8,-27.9,-2.0,91.0,62340.0,Bachelor's degree,3,,4,,6,25-2021,25,"Elementary school teachers, except special education",Education & Training,72.8,11.5,61.3
"Secondary school teachers, except special and career/technical education    * High School Algebra Teacher* High School Biology Teacher* High School English Teacher* High School French Teacher* High School History Teacher* High School Math Teacher* High School Teacher","=""25-2031""",1094.5,1076.7,-17.8,-1.6,66.2,64580.0,Bachelor's degree,3,,4,,6,25-2031,25,"Secondary school teachers, except special and career/technical education",Education & Training,72.8,11.5,61.3
Network and computer systems administrators    * LAN Administrator* LAN Systems Administrator* Local Area Network Administrator* Network Analyst* Network Coordinator* Network Support Coordinator* Network Support Manager* Network Systems Administrator* Network Systems Coordinator* WAN Systems Administrator* Wide Area Network Administrator,"=""15-1244""",331.5,317.7,-13.8,-4.2,14.3,96800.0,Bachelor's degree,3,,4,,6,15-1244,15,Network and computer systems administrators,Computer & Mathematical,94.3,33.0,61.3
"Middle school teachers, except special and career/technical education    * Intermediate School Social Studies Teacher* Junior High School Teacher* Middle School PE Teacher* Middle School Science Teacher","=""25-2022""",633.7,621.3,-12.4,-2.0,40.5,62970.0,Bachelor's degree,3,,4,,6,25-2022,25,"Middle school teachers, except special and career/technical education",Education & Training,72.8,11.5,61.3
Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator,"=""13-1051""",221.4,212.1,-9.3,-4.2,16.9,77070.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,13-1051,13,Cost estimators,Business & Financial,94.3,27.5,66.8
Computer programmers    * Applications Programmer* Computer Language Coder* Computer Programmer* IT Programmer* Junior Software Developer* Mainframe Programmer* Systems Programmer,"=""15-1251""",121.2,113.9,-7.2,-6.0,5.5,98670.0,Bachelor's degree,3,,4,,6,15-1251,15,Computer programmers,Computer & Mathematical,94.3,33.0,61.3
"Human resources assistants, except payroll and timekeeping    * Employment Clerk* HR Clerk* Personnel Clerk","=""43-4161""",95.2,88.4,-6.8,-7.1,9.0,49440.0,Associate's degree,4,,4,,6,43-4161,43,"Human resources assistants, except payroll and timekeeping",Office & Administrative,90.0,24.6,65.4
"Adult basic education, adult secondary education, and english as a second language instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult English as a Second Language (ESL) Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED¿ Instructor* General Educational Development (GED¿) Teacher* General Educational Development Teacher","=""25-3011""",40.9,35.3,-5.6,-13.7,3.9,59950.0,Bachelor's degree,3,,4,,6,25-3011,25,"Adult basic education, adult secondary education, and english as a second language instructors",Education & Training,72.8,11.5,61.3
"Education administrators, kindergarten through secondary    * Elementary School Principal* High School Principal* Junior High School Principal* K-12 School Principal* K-8 School Principal* Middle School Principal* Secondary School Principal","=""11-9032""",333.3,328.1,-5.1,-1.5,20.8,104070.0,Master's degree,2,5 years or more,1,,6,11-9032,11,"Education administrators, kindergarten through secondary",Management,91.3,18.2,73.1
"Special education teachers, kindergarten and elementary school","=""25-2052""",230.2,226.1,-4.1,-1.8,15.4,63000.0,Bachelor's degree,3,,4,,6,25-2052,25,"Special education teachers, kindergarten and elementary school",Education & Training,72.8,11.5,61.3
Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative,"=""13-2053""",127.0,123.7,-3.3,-2.6,8.2,79880.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,13-2053,13,Insurance underwriters,Business & Financial,94.3,27.5,66.8
Credit analysts    * Chief Credit Analyst* Credit Analyst* Credit Assessment Analyst* Credit Risk Analyst* Factorer,"=""13-2041""",67.8,64.8,-3.0,-4.4,3.7,80970.0,Bachelor's degree,3,,4,,6,13-2041,13,Credit analysts,Business & Financial,94.3,27.5,66.8
Mechanical drafters    * Aeronautical Drafter* Automotive Design Drafter* Die Designer* Gage Designer* Mechanical Design Drafter* Tool Designer* Tool and Die Designer,"=""17-3013""",42.9,40.1,-2.8,-6.5,3.3,68510.0,Associate's degree,4,,4,,6,17-3013,17,Mechanical drafters,Architecture & Engineering,84.8,14.7,70.1
"Special education teachers, secondary school    * High School Special Education Resource Teacher","=""25-2058""",164.2,161.5,-2.6,-1.6,11.1,69590.0,Bachelor's degree,3,,4,,6,25-2058,25,"Special education teachers, secondary school",Education & Training,72.8,11.5,61.3
"Education and childcare administrators, preschool and daycare    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director","=""11-9031""",90.2,87.9,-2.3,-2.5,5.5,56270.0,Bachelor's degree,3,Less than 5 years,2,,6,11-9031,11,"Education and childcare administrators, preschool and daycare",Management,91.3,18.2,73.1
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Cosmetology Teacher","=""25-2032""",103.4,101.5,-1.9,-1.8,6.2,63910.0,Bachelor's degree,3,Less than 5 years,2,,6,25-2032,25,"Career/technical education teachers, secondary school",Education & Training,72.8,11.5,61.3
"Kindergarten teachers, except special education    * Bilingual Education Kindergarten Teacher* Kindergarten Teacher","=""25-2012""",117.2,115.2,-1.9,-1.6,12.8,61430.0,Bachelor's degree,3,,4,,6,25-2012,25,"Kindergarten teachers, except special education",Education & Training,72.8,11.5,61.3
"News analysts, reporters, and journalists    * Book Critic* Book Reviewer* Columnist* Correspondent* Desk Reporter* Film Critic* Foreign Correspondent* Investigative Reporter* Journalist* Market News Reporter* Movie Critic* News Anchor* News Commentator* News Reporter* Newscaster* Newspaper Columnist* Newspaper Correspondent* Political Reporter* Press Writer* Society Reporter","=""27-3023""",49.3,47.4,-1.9,-3.9,4.1,60280.0,Bachelor's degree,3,,4,,6,27-3023,27,"News analysts, reporters, and journalists","Arts, Design, Media & Sports",83.7,19.3,64.4
"Special education teachers, middle school    * Junior High School Special Education Teacher* Middle School Special Education Teacher","=""25-2057""",94.8,93.0,-1.8,-1.9,6.3,64880.0,Bachelor's degree,3,,4,,6,25-2057,25,"Special education teachers, middle school",Education & Training,72.8,11.5,61.3
Broadcast announcers and radio disc jockeys    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disc Jockey* Radio Host* Talk Show Host* Television Host,"=""27-3011""",24.1,22.8,-1.3,-5.5,2.3,45680.0,Bachelor's degree,3,,4,,6,27-3011,27,Broadcast announcers and radio disc jockeys,"Arts, Design, Media & Sports",83.7,19.3,64.4
"Drafters, all other    * Blueprint Tracer* Drafting Layout Worker* Draughtsman* Geological Drafter* Marine Drafter","=""17-3019""",17.1,15.9,-1.2,-6.9,1.3,62010.0,Associate's degree,4,,4,,6,17-3019,17,"Drafters, all other",Architecture & Engineering,84.8,14.7,70.1
Electrical and electronics drafters    * Circuit Board Drafter* Electrical Computer Aided Design and Drafting Technician* Electrical Drafter* Electrical Systems Drafter* Electronic Drafter* Printed Circuit Board Drafter,"=""17-3012""",21.6,20.4,-1.2,-5.6,1.7,73720.0,Associate's degree,4,,4,,6,17-3012,17,Electrical and electronics drafters,Architecture & Engineering,84.8,14.7,70.1
Forest and conservation technicians    * Forest Technician* Forestry Aide* Forestry Technician* Natural Resources Technician* Soil Conservation Technician* Timber Management Technician,"=""19-4071""",33.8,32.7,-1.1,-3.2,3.9,54310.0,Associate's degree,4,,4,,6,19-4071,19,Forest and conservation technicians,"Life, Physical & Social Science",78.2,12.8,65.4
"Tax examiners and collectors, and revenue agents    * City Collector* Customs Appraiser* Income Tax Adjuster* Internal Revenue Agent* Internal Revenue Service Agent* Revenue Collector* Revenue Enforcement Agent* Tax Compliance Officer* Tax Compliance Representative* Tax Examiner* Tax Investigator* Tax Revenue Officer","=""13-2081""",57.6,56.5,-1.0,-1.8,4.3,59740.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,13-2081,13,"Tax examiners and collectors, and revenue agents",Business & Financial,94.3,27.5,66.8
Broadcast technicians    * Broadcast Engineer* Broadcast Maintenance Engineer* Broadcast Operations Engineer* Radio Station Audio Engineer* Radio/Television Technician* Remote Broadcast Engineer* Telecasting Engineer* Television Audio Engineer,"=""27-4012""",24.8,24.2,-0.7,-2.8,1.8,53920.0,Associate's degree,4,,4,Short-term on-the-job training,5,27-4012,27,Broadcast technicians,"Arts, Design, Media & Sports",83.7,19.3,64.4
"Social scientists and related workers, all other    * Behavioral Scientist* Demographer* Ethnologist* Etymologist* Linguist* Philologist* Social Scientist","=""19-3099""",40.8,40.1,-0.7,-1.7,3.2,100340.0,Bachelor's degree,3,,4,,6,19-3099,19,"Social scientists and related workers, all other","Life, Physical & Social Science",78.2,12.8,65.4
